Nation;Club;Games played;Goals scored;yellow card;Red card
Austria;RB Salzburg;6;5;11;0
Belgium;Club Brugge;8;8;27;1
Croatia;Dinamo Zagreb;6;4;13;0
Czech Rep.;Viktoria Plzen;6;5;12;1
Denmark;FC Copenhagen;6;1;12;1
England;Manchester City;13;32;22;1
England;Liverpool;8;19;11;0
England;Chelsea;10;12;25;1
England;Tottenham Hotspur;8;8;22;2
France;PSG;8;16;14;0
France;Olympique Marseille;6;8;11;1
Germany;Bayern Munich;10;22;23;2
Germany;Borussia Dortmund;8;11;17;0
Germany;Bayer Leverkusen;6;4;19;1
Germany;RB Leipzig;8;14;8;0
Germany;Eintracht Frankfurt;8;7;18;2
Israel;Maccabi Haifa;6;7;14;0
Italy;Inter Milan;13;19;28;1
Italy;Milan;12;15;30;1
Italy;Napoli;10;26;20;1
Italy;Juventus;6;9;14;0
Netherlands;Ajax;6;11;15;1
Portugal;Benfica;10;26;19;0
Portugal;Porto;8;12;25;3
Portugal;Sporting CP;6;8;17;3
Scotland;Celtic;6;4;10;0
Scotland;Rangers;6;2;7;1
Spain;Real Madrid;12;26;15;0
Spain;Barcelona;6;12;10;0
Spain;Atletico Madrid;6;5;13;0
Spain;Sevilla;6;6;13;0
Ukarine;Shakhtar Donetsk;6;8;16;0
