Club Name;Win;Draw;Lose;Points;xG;xGA;xGD;;;;Club Name;Win;Draw;Lose;Points;xG;xGA;xGD
Napoli;5;0;1;15;16.2;8.4;7.8;;;;Bayern Munich;6;0;0;18;13.2;5.9;7.3
liverpool;5;0;1;15;12.3;6.8;5.5;;;;Inter Milan;3;1;2;10;8.7;7.1;1.6
Ajax;2;0;4;6;8.3;12.2;-3.9;;;;Barcelona;2;1;3;7;9.9;9.3;0.6
Rangers;0;0;6;0;4.9;14.3;-9.4;;;;Vikitoria Plzen;0;0;6;0;5.5;15.1;-9
;;;;;;;;;;;;;;;;;;
Club Name;Win;Draw;Lose;Points;xG;xGA;xGD;;;Club Name;Win;Draw;Lose;Points;xG;xGA;xGD;
Porto;4;0;2;12;11.9;9.3;2.6;;;Tottenham;3;2;1;11;9.1;5.7;3.4;
Club Brugge;3;2;1;11;6.9;10.7;-3.8;;;Eintracht Frankfurt;3;1;2;10;6.5;7.4;-0.9;
Bayer leverkusen;1;2;3;5;9;7.5;1.5;;;Sporting CP;2;1;3;7;3.8;9.8;-6;
Atletico Madrid;1;2;3;5;9.5;9.8;-0.3;;;Marselile;2;0;4;6;8.6;5.1;3.5;
;;;;;;;;;;;;;;;;;;
Club Name;Win;Draw;Lose;Points;xG;xGA;xGD;;;;Club Name;Win;Draw;Lose;Points;xG;xGA;xGD
Chelsea;4;1;1;13;9.5;4.3;5.2;;;;Real Madrid;4;1;1;13;13.2;7.6;5.6
Milan;3;1;2;10;9;7.3;1.7;;;;Leipzig;4;0;2;12;10.3;7.1;3.3
Salzburg;1;3;2;6;8.3;6.9;1.4;;;;Shakhtar donetsk;1;3;2;6;3.7;10.9;-7.1
Dinamo Zagreb;1;1;4;4;4.2;12.5;-8.3;;;;Celtic;0;2;4;2;9.2;10.9;-1.7
;;;;;;;;;;;;;;;;;;
Club Name;Win;Draw;Lose;Points;xG;xGA;xGD;;;;Club Name;Win;Draw;Lose;Points;xG;xGA;xGD
Manchester City;4;2;0;14;13.6;3.3;10.3;;;;Benfica;4;2;0;14;10.6;7.3;3.4
Dortmund;2;3;1;9;8.2;7.3;0.9;;;;PSG;4;2;0;14;8.9;6.9;2
Sevilla;1;2;3;6;5.4;10.2;-4.8;;;;Juventus;1;0;5;3;8.6;10.6;-2
Copenhagen;0;3;3;3;4.8;11.2;-6.4;;;;Maccabi Haifa;1;0;5;3;6.4;9.8;-3.4
;;;;;;;;;;;;;;;;;;
Groups;Home Team;score;score2;Away team;Stadium;Team XG1;Team XG2;;;;;;;;;;;
E;Dinamo Zagreb;1;0;Chelsea;Maksimir;0.6;2.3;;;;;;;;;;;
E;Salzburg;1;1;AC Milan;Red Bull Arena;3.2;4.9;;;;;;;;;;;
F;Celtic;0;3;Real Madrid;Celtic Park;2.9;3.7;;QUALIFIED TEAMS;;;;;;;;;
F;RB Leipzig;1;4;Shakhtar Donetsk;Red Bull Arena;4.1;3.5;;Group;GROUP WINNER;COUNTRY;;;;;;;
G;Borussia Dortmund;3;0;København;Signal Iduna Park;2.6;0.3;;A;Napoli;Italy;;;;;;;
G;Sevilla;0;4;Manchester City;Ramón Sánchez Pizjuán;0.4;1.4;;B;Porto;Portugal;;;;;;;
H;Paris Saint-Germain;2;1;Juventus;Parc des Princes;5.2;3.4;;C;Bayern Munich;Germany;;;;;;;
H;Benfica;2;0;Maccabi Haifa;Stadion da Luz;5.4;2.1;;D;Tottenham Hotspur;England;;;;;;;
A;Ajax;4;0;Rangers;Amsterdam Arena;0.4;2.8;;E;Chelsea;England;;;;;;;
A;Napoli;4;1;Liverpool;San Paolo;3.4;5.6;;F;Real Madrid;Spain;;;;;;;
B;Atletico Madrid;2;1;Porto;Vicente Calderon;4.2;1.2;;G;Manchester City;England;;;;;;;
B;Club Brugge;1;0;Bayer Leverkusen;Jan Breydel;4.1;0.9;;H;Benfica;Portugal;;;;;;;
C;Internazionale;0;2;Bayern Munich;San Siro;5;4;;;GROUP RUNNER UP;;;;;;;;
C;Barcelona;5;1;Viktoria Plzeň;Nou Camp;4.4;2.9;;Groups ;Runners Up;Country;;;;;;;
D;Eintracht Frankfurt;0;3;Sporting CP;Eintracht-Stadion;3.4;5.5;;A;Liverpool;England;;;;;;;
D;Tottenham Hotspur;2;0;Marseille;Tottenham Hotspur Stadium;1.7;2.8;;B;Club Brugge;Belgium;;;;;;;
A;Liverpool;2;1;Ajax;Anfield;0.5;4.3;;C;Inter Milan;Italy;;;;;;;
A;Rangers;0;3;Napoli;Ibrox Stadium;5.1;5.7;;D;Eintracht Frankfurt;Germany;;;;;;;
B;Bayer Leverkusen;2;0;Atletico Madrid;BayArena;0.9;3.1;;E;Ac Milan;Italy;;;;;;;
B;Porto;0;4;Club Brugge;Estádio do Dragão;2.6;1;;F;RB Leipzig;Germany;;;;;;;
C;Viktoria Plzeň;0;2;Internazionale;Doosan Arena;3.1;5.6;;G;Dortmund;Germany;;;;;;;
C;Bayern Munich;2;0;Barcelona;Allianz Arena;2.5;5.6;;H;PSG;France;;;;;;;
D;Sporting CP;2;0;Tottenham Hotspur;José Alvalade;1.4;1.9;;;;;;;;;;;
D;Marseille;0;1;Eintracht Frankfurt;Vélodrome;2.5;3.6;;;;;;;;;;;
E;AC Milan;3;1;Dinamo Zagreb;San Siro;2.7;3.7;;;;;;;;;;;
