'Player';'Nationality';'Pos';'Club';'Age';'Born';'MP';'Starts';'Min';'90s';'Goals';'Assists';'G+A';'CrdYellow';'CrdRed';'xG';'xAG';;''Age'';''Born'';''MP'';''Starts'';''Min'';''90s'';''Goals'';''Assists'';''G+A'';''CrdYellow'';''CrdRed'';''xG'';''xAG''
'Liel Abada';'ISR';'FW,MF';'Celtic';20;2001;5;4;217;2.4;0;0;0;0;0;0.3;0.5;;''Liel Abada'';''ISR'';''FW,MF'';''Celtic'';;;;;;;;;
'Oliver Abildgaard';'DEN';'MF';'Celtic';26;1996;2;0;63;0.7;0;0;0;0;0;0;0;;''Oliver Abildgaard'';''DEN'';''MF'';''Celtic'';;;;;;;;;
'Mohammad Abu Fani';'ISR';'MF';'Maccabi Haifa';24;1998;6;4;400;4.4;0;0;0;1;0;0.4;0.6;;''Mohammad Abu Fani'';''ISR'';''MF'';''Maccabi Haifa'';;;;;;;;;
'Francesco Acerbi';'ITA';'DF';'Inter';34;1988;12;10;921;10.2;0;0;0;1;0;0.4;0.1;;''Francesco Acerbi'';''ITA'';''DF'';''Inter'';;;;;;;;;
'Marcos AcuÃ±a';'ARG';'DF,MF';'Sevilla';30;1991;4;3;219;2.4;0;1;1;0;0;0.1;0.2;;''Marcos AcuÃ±a'';''ARG'';''DF,MF'';''Sevilla'';;;;;;;;;
'Junior Adamu';'AUT';'FW';'RB Salzburg';21;2001;6;2;204;2.3;1;1;2;1;0;1.3;0.4;;''Junior Adamu'';''AUT'';''FW'';''RB Salzburg'';;;;;;;;;
'Antonio AdÃ¡n';'ESP';'GK';'Sporting CP';35;1987;5;5;382;4.2;0;0;0;0;1;0;0;;''Antonio AdÃ¡n'';''ESP'';''GK'';''Sporting CP'';;;;;;;;;
'Arijan Ademi';'MKD';'MF';'Dinamo Zagreb';31;1991;6;6;471;5.2;0;0;0;2;0;0.4;0.1;;''Arijan Ademi'';''MKD'';''MF'';''Dinamo Zagreb'';;;;;;;;;
'Karim Adeyemi';'GER';'FW,MF';'Dortmund';20;2002;6;5;376;4.2;2;0;2;1;0;1.8;1.1;;''Karim Adeyemi'';''GER'';''FW,MF'';''Dortmund'';;;;;;;;;
'Amine Adli';'FRA';'FW,MF';'Leverkusen';22;2000;4;1;121;1.3;0;0;0;0;0;0.7;0.3;;''Amine Adli'';''FRA'';''FW,MF'';''Leverkusen'';;;;;;;;;
'Manuel Akanji';'SUI';'DF';'Manchester City';27;1995;11;10;945;10.5;1;0;1;2;0;0.9;0.4;;''Manuel Akanji'';''SUI'';''DF'';''Manchester City'';;;;;;;;;
'Nathan AkÃ©';'NED';'DF';'Manchester City';27;1995;8;7;608;6.8;0;0;0;1;0;0.2;0.3;;''Nathan AkÃ©'';''NED'';''DF'';''Manchester City'';;;;;;;;;
'David Alaba';'AUT';'DF';'Real Madrid';30;1992;11;9;711;7.9;0;0;0;0;0;0.3;0.6;;''David Alaba'';''AUT'';''DF'';''Real Madrid'';;;;;;;;;
'Lucas Alario';'ARG';'FW,MF';'Eint Frankfurt';29;1992;2;0;20;0.2;0;0;0;0;0;0;0;;''Lucas Alario'';''ARG'';''FW,MF'';''Eint Frankfurt'';;;;;;;;;
'Jordi Alba';'ESP';'DF';'Barcelona';33;1989;2;2;146;1.6;0;1;1;0;0;0;0.6;;''Jordi Alba'';''ESP'';''DF'';''Barcelona'';;;;;;;;;
'Thiago AlcÃ¡ntara';'ESP';'MF';'Liverpool';31;1991;5;3;306;3.4;0;0;0;0;0;0.2;0.5;;''Thiago AlcÃ¡ntara'';''ESP'';''MF'';''Liverpool'';;;;;;;;;
'Trent Alexander-Arnold';'ENG';'DF';'Liverpool';23;1998;7;7;625;6.9;1;0;1;2;0;0.3;1.2;;''Trent Alexander-Arnold'';''ENG'';''DF'';''Liverpool'';;;;;;;;;
'Sotiris Alexandropoulos';'GRE';'MF';'Sporting CP';20;2001;3;0;121;1.3;0;0;0;0;0;0.1;0;;''Sotiris Alexandropoulos'';''GRE'';''MF'';''Sporting CP'';;;;;;;;;
'Faride Alidou';'GER';'DF,FW';'Eint Frankfurt';21;2001;5;0;73;0.8;1;0;1;0;0;0.3;0.1;;''Faride Alidou'';''GER'';''DF,FW'';''Eint Frankfurt'';;;;;;;;;
'Alisson';'BRA';'GK';'Liverpool';29;1992;8;8;720;8;0;0;0;0;0;0;0;;''Alisson'';''BRA'';''GK'';''Liverpool'';;;;;;;;;
'Marcos Alonso';'ESP';'DF';'Barcelona';31;1990;5;5;403;4.5;1;0;1;0;0;1;0.9;;''Marcos Alonso'';''ESP'';''DF'';''Barcelona'';;;;;;;;;
'lvarez Balanta';'COL';'MF,FW';'Club Brugge';29;1993;4;0;50;0.6;0;0;0;0;0;0;0;;''lvarez Balanta'';''COL'';''MF,FW'';''Club Brugge'';;;;;;;;;
'Edson Ãlvarez';'MEX';'MF';'Ajax';24;1997;6;6;531;5.9;1;0;1;2;0;0.9;0.1;;''Edson Ãlvarez'';''MEX'';''MF'';''Ajax'';;;;;;;;;
